,date,sec_name,i_weight,PCT_CHG_PER,INDUSTRY_CSRC12,FA_ROICEBIT_TTM,FA_OCFTOOR_TTM,FA_DEBTTOASSET,FA_NPGR_TTM,FA_ORGR_TTM,TECH_PRICE1Y,PE_TTM,VAL_MVTOEBITDA_TTM,PB_LF,BETA_24M,ANNUALSTDEVR_24M
600167.SH,2018/8/31 0:00,联美控股,0.062,-3.00120048,电力、热力生产和供应业,15.6132,27.75,27.3373,27.8555,12.8501,-0.28777555,13.31546497,9.5678,1.900449991,1.392400026,28.46486855
000598.SZ,2018/8/31 0:00,兴蓉环境,0.231,3.529411765,水的生产和供应业,8.7065,44.5664,44.1176,16.3259,16.6829,-0.09477745,13.4984951,6.8806,1.315786123,0.978699982,18.15916634
600160.SH,2018/8/31 0:00,巨化股份,0.311,-2.288021534,化学原料及化学制品制造业,15.2926,12.6857,19.5966,135.3148,31.9917,-0.12469544,13.58628559,8.1123,1.705472469,0.749899983,28.02111816
600270.SH,2018/8/31 0:00,外运发展,0.22,3.247082699,装卸搬运和其他运输代理,15.2838,6.2489,22.6529,18.8068,28.0253,0.07517682,13.60179138,12.6733,2.251965284,0.763899982,23.036623
600623.SH,2018/8/31 0:00,华谊集团,0.147,-0.795454545,化学原料及化学制品制造业,6.7099,10.1926,50.174,137.0792,-6.8889,-0.0994801,13.65159321,5.1169,1.059322357,0.880200028,35.72631836
600338.SH,2018/8/31 0:00,西藏珠峰,0.136,1.077682982,有色金属矿采选业,36.1326,47.3056,49.9085,12.3075,20.1726,-0.31815003,13.68994236,10.0367,6.722524166,0.627399981,41.04336929
002589.SZ,2018/8/31 0:00,瑞康医药,0.382,-15.30524506,批发业,14.015,-12.1943,67.1085,44.5193,48.778,-0.27043573,13.79432583,5.7766,1.800061822,-0.033399999,23.12080002
600718.SH,2018/8/31 0:00,东软集团,0.319,1.123595506,软件和信息技术服务业,9.8211,2.1577,26.9908,-50.1676,2.0248,-0.16801493,13.83994007,11.2422,1.614434242,0.181899995,28.02770042
601811.SH,2018/8/31 0:00,新华文轩,0.045,2.800829876,新闻和出版业,9.749,10.6739,38.1063,11.4684,13.4237,-0.15125637,13.9770689,12.7598,1.500883341,1.029099941,30.38640594
300197.SZ,2018/8/31 0:00,铁汉生态,0.223,0,土木工程建筑业,9.2484,-8.6441,70.5394,42.1623,74.5436,,14.02611923,7.8011,1.904758811,0.0228,33.17778015
002503.SZ,2018/8/31 0:00,搜于特,0.119,-2.821316614,纺织服装、服饰业,13.157,-2.3696,45.7082,34.2887,113.8168,-0.32940398,14.06178665,7.3626,1.799078345,0.581900001,22.56654358
600545.SH,2018/8/31 0:00,卓郎智能,0.134,-0.129198966,专用设备制造业,20.4374,-8.86,74.9389,934.4251,346.5279,-0.16130379,14.06282806,8.8534,5.758464336,1.678200006,59.04769135
601928.SH,2018/8/31 0:00,凤凰传媒,0.14,2.218700475,新闻和出版业,8.86,15.5784,35.6715,-3.1867,1.9545,-0.11418728,14.13327503,10.8531,1.2836622,0.665199995,11.46790886
000078.SZ,2018/8/31 0:00,海王生物,0.187,-0.765306122,零售业,10.2279,-8.1281,80.3299,35.7009,102.0235,-0.28279994,14.15196133,5.0899,1.762554884,0.754400015,19.34181213
600260.SH,2018/8/31 0:00,凯乐科技,0.26,4.289405685,计算机、通信和其他电子设备制造业,14.8787,10.7318,70.2638,101.8755,27.7026,-0.28843139,14.18708611,7.941,2.715940714,0.804199994,34.45083618
600642.SH,2018/8/31 0:00,申能股份,0.42,2.131782946,燃气生产和供应业,7.403,5.6463,41.7849,-23.7968,18.2462,-0.02381191,14.25427723,4.6455,0.989548147,0.756900012,11.91339207
600388.SH,2018/8/31 0:00,龙净环保,0.237,-2.818270165,专用设备制造业,14.159,5.021,71.443,7.0725,4.2987,-0.30069215,14.27021408,10.2141,2.341362715,0.351099998,31.08338356
300418.SZ,2018/8/31 0:00,昆仑万维,0.27,1.174033149,互联网和相关服务,18.8917,24.5334,37.8417,100.9862,18.0929,-0.31563239,14.33274078,9.1966,2.569232941,1.450799942,33.35860443
